Datum,Startkassa (kr),Total Vinst/Förlust (kr),Nuvarande Kassa (kr),Antal Spelade Matcher
2026-07-20,10000.0,-100.58,9899.42,1
2026-07-20,10000.0,-198.17,9801.83,2
2026-07-20,10000.0,-162.16,9837.84,3
2026-07-20,10000.0,-307.13,9692.87,4
2026-07-20,10000.0,-240.16,9759.84,5
2026-07-20,10000.0,-352.47,9647.53,6
2026-07-20,10000.0,-557.17,9442.83,7
2026-07-20,10000.0,-609.57,9390.43,8
2026-07-21,10000.0,-634.36,9365.64,9
2026-07-21,10000.0,-683.57,9316.43,10
2026-07-21,10000.0,-874.41,9125.59,11
2026-07-21,10000.0,-979.87,9020.13,12
2026-07-21,10000.0,-1126.6,8873.4,13
2026-07-21,10000.0,-1092.79,8907.21,14
2026-07-21,10000.0,-1184.43,8815.57,15
2026-07-21,10000.0,-1278.88,8721.12,16
2026-07-21,10000.0,-1215.99,8784.01,17
2026-07-22,10000.0,-1227.58,8772.42,18
2026-07-22,10000.0,-1191.1,8808.9,19
2026-07-22,10000.0,-1144.05,8855.95,20
2026-07-22,10000.0,-1205.74,8794.26,21
2026-07-22,10000.0,-1168.2,8831.8,22
2026-07-22,10000.0,-1191.22,8808.78,23
2026-07-22,10000.0,-1254.38,8745.62,24
2026-07-22,10000.0,-1303.71,8696.29,25
2026-07-22,10000.0,-1274.3,8725.7,26
2026-07-22,10000.0,-1254.72,8745.28,27
2026-07-22,10000.0,-1297.58,8702.42,28
2026-07-22,10000.0,-1341.75,8658.25,29
2026-07-22,10000.0,-1431.01,8568.99,30
2026-07-23,10000.0,-1439.83,8560.17,31
2026-07-23,10000.0,-1445.57,8554.43,32
2026-07-23,10000.0,-1399.21,8600.79,33
2026-07-23,10000.0,-1365.24,8634.76,34
2026-07-24,10000.0,-1312.87,8687.13,35
2026-07-24,10000.0,-1321.68,8678.32,36
2026-07-24,10000.0,-1285.59,8714.41,37
2026-07-24,10000.0,-1291.37,8708.63,38
2026-07-25,10000.0,-1232.25,8767.75,39
2026-07-25,10000.0,-1131.95,8868.05,40
2026-07-25,10000.0,-1121.33,8878.67,41
2026-07-25,10000.0,-1013.0,8987.0,42
2026-07-25,10000.0,-1070.14,8929.86,43
2026-07-25,10000.0,-997.07,9002.93,44
2026-07-26,10000.0,-941.24,9058.76,45
2026-07-26,10000.0,-1019.69,8980.31,46
2026-07-26,10000.0,-696.47,9303.53,47
2026-07-26,10000.0,-726.54,9273.46,48
2026-07-26,10000.0,-777.8,9222.2,49
2026-07-26,10000.0,-785.73,9214.27,50
2026-07-26,10000.0,-883.46,9116.54,51
2026-07-26,10000.0,-639.78,9360.22,52
2026-07-26,10000.0,-666.47,9333.53,53
2026-07-26,10000.0,-735.31,9264.69,54
2026-07-26,10000.0,-834.66,9165.34,55
2026-07-27,10000.0,-933.48,9066.52,56
2026-07-27,10000.0,-955.67,9044.33,57
2026-07-27,10000.0,-713.28,9286.72,58
2026-07-27,10000.0,-810.49,9189.51,59
2026-07-27,10000.0,-878.97,9121.03,60
2026-07-27,10000.0,-915.42,9084.58,61
2026-07-27,10000.0,-586.37,9413.63,62
2026-07-27,10000.0,-666.23,9333.77,63
2026-07-27,10000.0,-674.11,9325.89,64
2026-07-27,10000.0,-617.27,9382.73,65
2026-07-27,10000.0,-672.26,9327.74,66
2026-07-28,10000.0,-685.77,9314.23,67
2026-07-28,10000.0,-656.84,9343.16,68
2026-07-28,10000.0,-660.85,9339.15,69
2026-07-28,10000.0,-701.49,9298.51,70
2026-07-28,10000.0,-542.84,9457.16,71
2026-07-28,10000.0,-561.39,9438.61,72
2026-07-28,10000.0,-587.94,9412.06,73
2026-07-28,10000.0,-638.23,9361.77,74
2026-07-28,10000.0,-687.69,9312.31,75
2026-07-28,10000.0,-564.34,9435.66,76
2026-07-28,10000.0,-599.19,9400.81,77
