Date,Strategy,Market,Current Bankroll
2026-07-20,StockQuant,Aktier,100000.00
2026-07-21,StockQuant,Aktier,100000.00
2026-07-22,StockQuant,Aktier,100000.00
2026-07-23,StockQuant,Aktier,100000.00
2026-07-24,StockQuant,Aktier,100010.28
2026-07-27,StockQuant,Aktier,99984.28
2026-07-28,StockQuant,Aktier,99915.88
2026-07-29,StockQuant,Aktier,99928.63
2026-07-30,StockQuant,Aktier,99922.37
2026-07-31,StockQuant,Aktier,99936.88
2026-08-03,StockQuant,Aktier,99803.95
2026-08-04,StockQuant,Aktier,100036.23
2026-08-05,StockQuant,Aktier,99891.78
2026-08-06,StockQuant,Aktier,99891.78
2026-08-07,StockQuant,Aktier,99962.86
2026-08-10,StockQuant,Aktier,99844.41
2026-08-11,StockQuant,Aktier,99771.38
2026-08-12,StockQuant,Aktier,99656.79
2026-08-13,StockQuant,Aktier,99606.37
