Datum,Omgång,Antal Rader,Bästa Rad,Antal 13,Antal 12,Antal 11,Antal 10,Vinst (SEK),Facit
Okänt datu,4971,288,8,0,0,0,0,0.0,2111XX2XX12XX
Okänt datu,4970,288,8,0,0,0,0,0.0,2XXX22X1X1212
Okänt datu,4969,288,6,0,0,0,0,0.0,XX21XX211221X
Okänt datu,4968,288,7,0,0,0,0,0.0,2X2221X111X22
Okänt datu,4967,288,8,0,0,0,0,0.0,11121X2X1X2XX
Okänt datu,4966,288,8,0,0,0,0,0.0,X211222X1X122
Okänt datu,4965,288,8,0,0,0,0,0.0,21211X22121X2
Okänt datu,4964,288,10,0,0,0,2,0.0,11X1211212221
Okänt datu,4963,288,6,0,0,0,0,0.0,1X212XX21XX22
Okänt datu,4962,288,7,0,0,0,0,0.0,X21X212122212
Okänt datu,4961,288,11,0,0,1,3,0.0,XX11X11111112
Okänt datu,4960,288,9,0,0,0,0,0.0,222111X121212
Okänt datu,4959,288,8,0,0,0,0,0.0,21X12X2X1111X
Okänt datu,4958,288,7,0,0,0,0,0.0,11X21XX211X22
Okänt datu,4957,288,6,0,0,0,0,0.0,X12XX1222XX21
Okänt datu,4956,288,8,0,0,0,0,0.0,21112X1X22X21
Okänt datu,4955,288,10,0,0,0,3,0.0,X1111X1X12X11
Okänt datu,4954,288,8,0,0,0,0,0.0,222X1111XX2X1
Okänt datu,4953,288,8,0,0,0,0,0.0,1X21X2XXX1211
Okänt datu,4952,288,7,0,0,0,0,0.0,1X12122221X2X
Okänt datu,4951,288,7,0,0,0,0,0.0,111X222X1222X
Okänt datu,4950,288,8,0,0,0,0,0.0,111121X2221XX
Okänt datu,4949,288,5,0,0,0,0,0.0,2X212X2221X22
Okänt datu,4948,288,8,0,0,0,0,0.0,1X2222111X21X
Okänt datu,4947,288,8,0,0,0,0,0.0,1121XX2212122
Okänt datu,4946,288,11,0,0,2,26,0.0,1X11111X1111X
Okänt datu,4945,288,9,0,0,0,0,0.0,X11221212X11X
Okänt datu,4944,288,8,0,0,0,0,0.0,X122XX22111X2
Okänt datu,4943,288,8,0,0,0,0,0.0,2X1XX11X11221
Okänt datu,4942,288,8,0,0,0,0,0.0,2122211122X11
Okänt datu,4941,288,8,0,0,0,0,0.0,1XXX2X22X1121
Okänt datu,4940,288,7,0,0,0,0,0.0,12X21212X211X
Okänt datu,4939,288,8,0,0,0,0,0.0,2122X21X21X21
Okänt datu,4938,288,7,0,0,0,0,0.0,112X22X1X2112
Okänt datu,4937,288,9,0,0,0,0,0.0,1X11XX1221XX2
Okänt datu,4936,288,9,0,0,0,0,0.0,X11X211X22XX2
Okänt datu,4935,288,7,0,0,0,0,0.0,22X111221X2X1
Okänt datu,4934,288,6,0,0,0,0,0.0,XXX12X2221122
Okänt datu,4933,288,7,0,0,0,0,0.0,2112X12XX11XX
Okänt datu,4932,288,9,0,0,0,0,0.0,2121XX21X1111
Okänt datu,4931,288,10,0,0,0,4,0.0,1211X11121X12
Okänt datu,4930,288,11,0,0,1,6,0.0,XX111121X1111
Okänt datu,4929,288,10,0,0,0,2,0.0,22111111121XX
Okänt datu,4928,288,9,0,0,0,0,0.0,12X11212X1X11
Okänt datu,4927,288,9,0,0,0,0,0.0,1211111XXX12X
Okänt datu,4926,288,10,0,0,0,3,0.0,1X1112X122111
Okänt datu,4925,288,9,0,0,0,0,0.0,1221X111X2211
Okänt datu,4924,288,10,0,0,0,5,0.0,1121111XX121X
Okänt datu,4923,288,11,0,0,2,11,0.0,2111X12112111
Okänt datu,4922,288,9,0,0,0,0,0.0,X1X11221X1212
Okänt datu,4921,288,11,0,0,1,2,0.0,1112X111212X1
Okänt datu,4920,288,8,0,0,0,0,0.0,X2211X12XXXX1
Okänt datu,4919,288,10,0,0,0,1,0.0,11X22XX212222
Okänt datu,4918,288,7,0,0,0,0,0.0,X2X111X21X222
Okänt datu,4917,288,11,0,0,5,6,0.0,X111X12112111
Okänt datu,4916,288,7,0,0,0,0,0.0,X212121X2X1X1
Okänt datu,4915,288,10,0,0,0,6,0.0,1111112122XX1
