Rad,rad
1111111121111,1111111121111
1111111111211,1111111111211
1112111111111,1112111111111
1211111111111,1211111111111
1111111211111,1111111211111
1111121111111,1111121111111
2111111111111,2111111111111
1121111111111,1121111111111
1111111111X11,1111111111X11
11111X1111111,11111X1111111
11111111X1111,11111111X1111
1111111X11111,1111111X11111
X111111111111,X111111111111
2111121111111,2111121111111
2111112111111,2111112111111
1122111111111,1122111111111
1111122111111,1111122111111
1211111211111,1211111211111
1112121111111,1112121111111
1212111111111,1212111111111
1111221111111,1111221111111
1112111211111,1112111211111
1111211211111,1111211211111
1111111121121,1111111121121
1111112111121,1111112111121
1112111111112,1112111111112
1112111111211,1112111111211
1121111111121,1121111111121
1121111121111,1121111121111
1211111111121,1211111111121
1211111111211,1211111111211
1111111111221,1111111111221
1111111112121,1111111112121
1121111111112,1121111111112
111121111X111,111121111X111
1111X11111211,1111X11111211
X111121111111,X111121111111
111X111121111,111X111121111
1X21111111111,1X21111111111
1X11111111121,1X11111111121
X111111112111,X111111112111
1X11111211111,1X11111211111
1111X11112111,1111X11112111
1111111X11121,1111111X11121
1112111111X11,1112111111X11
111111211X111,111111211X111
X111111111211,X111111111211
1111211X11111,1111211X11111
1111111X11211,1111111X11211
12111X1111111,12111X1111111
1X11111112111,1X11111112111
11112111X1111,11112111X1111
111111121X111,111111121X111
111111111X121,111111111X121
11111111X1211,11111111X1211
111X111211111,111X111211111
111111X211111,111111X211111
1111X11111121,1111X11111121
11111X1112111,11111X1112111
111111X121111,111111X121111
111X121111111,111X121111111
1211111111X11,1211111111X11
11X1111121111,11X1111121111
11X1211111111,11X1211111111
111111112X111,111111112X111
12X1111111111,12X1111111111
111112111X111,111112111X111
11111211X1111,11111211X1111
X112111111111,X112111111111
1121X11111111,1121X11111111
11111X1111121,11111X1111121
1111111X12111,1111111X12111
11111112X1111,11111112X1111
111X111111211,111X111111211
211111111X111,211111111X111
111112111111X,111112111111X
11111111111X2,11111111111X2
111X111111112,111X111111112
1111111111X12,1111111111X12
111111111X112,111111111X112
111211111111X,111211111111X
1X11112111111,1X11112111111
1112111X11111,1112111X11111
11X1112111111,11X1112111111
1111X111X1111,1111X111X1111
11X1X11111111,11X1X11111111
X111X11111111,X111X11111111
11111X111X111,11111X111X111
11111111X111X,11111111X111X
111111X11X111,111111X11X111
11X111111111X,11X111111111X
1111111111X1X,1111111111X1X
11111XX111111,11111XX111111
X111111X11111,X111111X11111
X1111111X1111,X1111111X1111
1X1111111111X,1X1111111111X
1X111111X1111,1X111111X1111
X11111111X111,X11111111X111
11111X111111X,11111X111111X
111X111X11111,111X111X11111
X11111X111111,X11111X111111
111X1111111X1,111X1111111X1
111X1111X1111,111X1111X1111
1X11111111X11,1X11111111X11
1111111XX1111,1111111XX1111
1111111X111X1,1111111X111X1
1111211112121,1111211112121
1111211111221,1111211111221
1211211111112,1211211111112
1111212211111,1111212211111
1212111111121,1212111111121
2111211111121,2111211111121
1111221111121,1111221111121
1211121111112,1211121111112
1112112111121,1112112111121
1211121111121,1211121111121
1111211111212,1111211111212
1111212112111,1111212112111
1211211111121,1211211111121
1112211111112,1112211111112
1211111211121,1211111211121
2112111111121,2112111111121
2112111111112,2112111111112
1111221112111,1111221112111
2121111111121,2121111111121
2111111211112,2111111211112
2111111211121,2111111211121
2121111111112,2121111111112
1111222111111,1111222111111
1121112111112,1121112111112
1112211111121,1112211111121
1111111211122,1111111211122
1111111112221,1111111112221
1111111221112,1111111221112
2111111112121,2111111112121
1121111112121,1121111112121
1121111112112,1121111112112
1111111212112,1111111212112
1111122111211,1111122111211
1111112121121,1111112121121
1112111111221,1112111111221
1111111211221,1111111211221
1111112111212,1111112111212
1111112111122,1111112111122
2212112221211,2212112221211
2212112212211,2212112212211
X21X112222211,X21X112222211
X212X1X221211,X212X1X221211
X21211221XX21,X21211221XX21
221211X2X1221,221211X2X1221
X21X112221211,X21X112221211
1212112221X21,1212112221X21
X21211X22XX21,X21211X22XX21
X21211X2212X1,X21211X2212X1
22121122XX111,22121122XX111
2212112221XX1,2212112221XX1
221X1122X1221,221X1122X1221
X212X1X2X2121,X212X1X2X2121
121211X2X2211,121211X2X2211
X21211X212X21,X21211X212X21
X2121122X11X1,X2121122X11X1
121211221X211,121211221X211
X212X12211111,X212X12211111
X21211222212X,X21211222212X
X2111122X1221,X2111122X1221
X21X11X222211,X21X11X222211
X2121X2212221,X2121X2212221
2211112222211,2211112222211
2212112211111,2212112211111
221211X21X211,221211X21X211
221211222X1X1,221211222X1X1
X212112212X2X,X212112212X2X
X21221221X221,X21221221X221
2212X1221221X,2212X1221221X
X212X12X21211,X212X12X21211
X212112222XXX,X212112222XXX
X21XX122122X1,X21XX122122X1
2211112221211,2211112221211
221X1122XXX21,221X1122XXX21
X21X11X2X2X21,X21X11X2X2X21
2212X1221XXX1,2212X1221XXX1
X211112222121,X211112222121
X212X12XX2X11,X212X12XX2X11
X212112X22121,X212112X22121
X21X1122XX111,X21X1122XX111
221211X212111,221211X212111
X212XX22X1X21,X212XX22X1X21
X212212221111,X212212221111
22121122XXX1X,22121122XXX1X
X212X122X111X,X212X122X111X
X2111122X12X1,X2111122X12X1
X2121122X1XXX,X2121122X1XXX
1212X12XX2221,1212X12XX2221
22121X2211221,22121X2211221
X2121X22XXX11,X2121X22XXX11
2X121122XX221,2X121122XX221
X21221X222X11,X21221X222X11
X212X12211X1X,X212X12211X1X
221211X211121,221211X211121
221211222111X,221211222111X
X21XX1221XX11,X21XX1221XX11
X2121112X2221,X2121112X2221
X211X1221X211,X211X1221X211
X211X122X2111,X211X122X2111
22122122X1121,22122122X1121
X212XX22XXX11,X212XX22XXX11
X212X12XX1X11,X212X12XX1X11
X212XXX2X1221,X212XXX2X1221
221211X2X2X2X,221211X2X2X2X
221X1122221X1,221X1122221X1
22111122212X1,22111122212X1
X212XX22X2XX1,X212XX22X2XX1
221X112212111,221X112212111
221221X22X211,221221X22X211
2211112221X11,2211112221X11
22121X221X211,22121X221X211
X21X1122X11X1,X21X1122X11X1
X21XX1X211211,X21XX1X211211
1212XX2221211,1212XX2221211
X21XX1X221X11,X21XX1X221X11
121XX122212X1,121XX122212X1
2211X1221X221,2211X1221X221
121X1122X2111,121X1122X2111
221211X21X111,221211X21X111
2X12X122XX211,2X12X122XX211
221XX12212111,221XX12212111
221X11222121X,221X11222121X
12121X22222X1,12121X22222X1
X212X1X22211X,X212X1X22211X
2212112XX1X11,2212112XX1X11
22111122XX2X1,22111122XX2X1
121211222XX1X,121211222XX1X
X21211221X11X,X21211221X11X
22X2X122X1221,22X2X122X1221
12121122XX2XX,12121122XX2XX
2212212212111,2212212212111
221XX1X211221,221XX1X211221
XX1211X2X1221,XX1211X2X1221
2X1211X2X2221,2X1211X2X2221
X212XX221XX21,X212XX221XX21
X212X1222X1XX,X212X1222X1XX
X21221X22XX11,X21221X22XX11
2212112X22XX1,2212112X22XX1
X212X11221221,X212X11221221
2212X1221XX1X,2212X1221XX1X
1212X1X2112X1,1212X1X2112X1
X211X1X2222X1,X211X1X2222X1
X212112X11X11,X212112X11X11
1X1211222X221,1X1211222X221
221X1X22X2211,221X1X22X2211
2X12X12211221,2X12X12211221
121X112221111,121X112221111
121211X2XXXX1,121211X2XXXX1
X212X122X2112,X212X122X2112
1211X12212211,1211X12212211
12121X2221X21,12121X2221X21
221111X212221,221111X212221
X212111212221,X212111212221
1X121122XX221,1X121122XX221
X2X21122X12X1,X2X21122X12X1
X212212X21221,X212212X21221
221211XXX1211,221211XXX1211
X21211X2X111X,X21211X2X111X
1X121122X1211,1X121122X1211
22121122X11XX,22121122X11XX
X21211XX22121,X21211XX22121
