Lag,Grundstyrka (x_base),Unik Hemmafördel (x_home)
Atlanta Utd,-0.4453,0.2721
Austin FC,-0.4616,0.3014
CF Montreal,-0.4599,0.2151
Charlotte,-0.018,0.2551
Chicago Fire,-0.1254,0.2147
Chivas USA,-0.7701,0.0279
Cincinnati,0.0267,0.1716
Colorado Rapids,-0.4765,0.4215
Columbus Crew,0.0635,0.2751
DC United,-0.51,0.0976
Dallas,-0.0945,0.1939
Houston Dynamo,-0.0839,0.2521
Inter Miami,0.4374,0.1953
Kansas City,-0.7078,0.3005
LAFC,0.5254,0.237
Los Angeles Galaxy,-0.1814,0.2455
Minnesota United,-0.1636,0.2026
Nashville,0.2805,0.2486
New England Revolution,-0.3678,0.2495
New York City,0.0084,0.1976
Orlando City,0.0279,0.1898
Philadelphia Union,0.0625,0.3137
Portland Timbers,-0.1905,0.2143
Real Salt Lake,-0.2685,0.233
Red Bulls,-0.3144,0.2101
San Diego FC,0.1793,0.1488
San Jose,-0.352,0.1125
Seattle Sounders,-0.0786,0.23
St. Louis City,-0.238,0.1494
Toronto,-0.3423,0.2309
Vancouver Whitecaps,0.303,0.2903
